CUSTOMER_ID,AGE,GENDER,ITEM_PURCHASED,CATEGORY,PURCHASE_AMOUNT,LOCATION,REGION,SIZE,COLOR,SEASON,REVIEW_RATING,SUBSCRIPTION_STATUS,SHIPPING_TYPE,DISCOUNT_APPLIED,PROMO_CODE_USED,PREVIOUS_PURCHASES,PAYMENT_METHOD,FREQUENCY_OF_PURCHASES,PROCESSDATE,AGE_GROUP,REVIEWS_CLASSIFICATION
1,55,Male,Blouse,Clothing,53,Kentucky,South Region,L,Gray,Winter,3.1,true,Express,true,true,14,Venmo,Fortnightly,3/13/2025 2:32,ADULT,GOOD
2,19,Male,Sweater,Clothing,64,Maine,Northeast Region,L,Maroon,Winter,3.1,true,Express,true,true,2,Cash,Fortnightly,1/25/2025 2:08,YOUTH,GOOD
3,50,Male,Jeans,Clothing,73,Massachusetts,Northeast Region,S,Maroon,Spring,3.1,true,Free Shipping,true,true,23,Credit Card,Weekly,5/11/2025 0:04,ADULT,GOOD
4,21,Male,Sandals,Footwear,90,Rhode Island,Northeast Region,M,Maroon,Spring,3.5,true,Next Day Air,true,true,49,PayPal,Weekly,2/18/2025 0:49,YOUTH,GOOD
5,45,Male,Blouse,Clothing,49,Oregon,West Region,M,Turquoise,Spring,2.7,true,Free Shipping,true,true,31,PayPal,Annually,6/15/2025 20:04,ADULT,BAD
6,46,Male,Sneakers,Footwear,20,Wyoming,West Region,M,White,Summer,2.9,true,Standard,true,true,14,Venmo,Weekly,6/25/2025 3:47,ADULT,BAD
7,63,Male,Shirt,Clothing,85,Montana,West Region,M,Gray,Fall,3.2,true,Free Shipping,true,true,49,Cash,Quarterly,4/7/2025 1:16,SENIOR,GOOD
8,27,Male,Shorts,Clothing,34,Louisiana,South Region,L,Charcoal,Winter,3.2,true,Free Shipping,true,true,19,Credit Card,Weekly,4/18/2025 18:09,YOUTH,GOOD
9,26,Male,Coat,Outerwear,97,West Virginia,South Region,L,Silver,Summer,2.6,true,Express,true,true,8,Venmo,Annually,6/27/2025 5:34,YOUTH,BAD
10,57,Male,Handbag,Accessories,31,Missouri,Midwest Region,M,Pink,Spring,4.8,true,2-Day Shipping,true,true,4,Cash,Quarterly,2/27/2025 9:12,ADULT,EXCELLENT
11,53,Male,Shoes,Footwear,34,Arkansas,South Region,L,Purple,Fall,4.1,true,Store Pickup,true,true,26,Bank Transfer,Bi-Weekly,4/23/2025 0:25,ADULT,EXCELLENT
12,30,Male,Shorts,Clothing,68,Hawaii,West Region,S,Olive,Winter,4.9,true,Store Pickup,true,true,10,Bank Transfer,Fortnightly,5/6/2025 9:38,YOUTH,EXCELLENT
13,61,Male,Coat,Outerwear,72,Delaware,South Region,M,Gold,Winter,4.5,true,Express,true,true,37,Venmo,Fortnightly,4/4/2025 6:59,SENIOR,EXCELLENT
14,65,Male,Dress,Clothing,51,New Hampshire,Northeast Region,M,Violet,Spring,4.7,true,Express,true,true,31,PayPal,Weekly,1/23/2025 11:08,SENIOR,EXCELLENT
15,64,Male,Coat,Outerwear,53,New York,Northeast Region,L,Teal,Winter,4.7,true,Free Shipping,true,true,34,Debit Card,Weekly,1/11/2025 9:01,SENIOR,EXCELLENT
16,64,Male,Skirt,Clothing,81,Rhode Island,Northeast Region,M,Teal,Winter,2.8,true,Store Pickup,true,true,8,PayPal,Monthly,3/10/2025 13:42,SENIOR,BAD
17,25,Male,Sunglasses,Accessories,36,Alabama,South Region,S,Gray,Spring,4.1,true,Next Day Air,true,true,44,Debit Card,Bi-Weekly,3/31/2025 22:32,YOUTH,EXCELLENT
18,53,Male,Dress,Clothing,38,Mississippi,South Region,XL,Lavender,Winter,4.7,true,2-Day Shipping,true,true,36,Venmo,Quarterly,4/25/2025 19:37,ADULT,EXCELLENT
19,52,Male,Sweater,Clothing,48,Montana,West Region,S,Black,Summer,4.6,true,Free Shipping,true,true,17,Cash,Weekly,3/18/2025 18:32,ADULT,EXCELLENT
20,66,Male,Pants,Clothing,90,Rhode Island,Northeast Region,M,Green,Summer,3.3,true,Standard,true,true,46,Debit Card,Bi-Weekly,3/25/2025 15:29,SENIOR,GOOD
21,21,Male,Pants,Clothing,51,Louisiana,South Region,M,Black,Winter,2.8,true,Express,true,true,50,Cash,Every 3 Months,3/29/2025 12:27,YOUTH,BAD
22,31,Male,Pants,Clothing,62,North Carolina,South Region,M,Charcoal,Winter,4.1,true,Store Pickup,true,true,22,Debit Card,Quarterly,1/25/2025 22:04,YOUTH,EXCELLENT
23,56,Male,Pants,Clothing,37,California,West Region,M,Peach,Summer,3.2,true,Store Pickup,true,true,32,Debit Card,Annually,1/6/2025 7:42,ADULT,GOOD
24,31,Male,Pants,Clothing,88,Oklahoma,South Region,XL,White,Winter,4.4,true,Express,true,true,40,Credit Card,Weekly,3/19/2025 17:17,YOUTH,EXCELLENT
25,18,Male,Jacket,Outerwear,22,Florida,South Region,M,Green,Fall,2.9,true,Store Pickup,true,true,16,Debit Card,Weekly,6/28/2025 1:22,YOUTH,BAD
26,18,Male,Hoodie,Clothing,25,Texas,South Region,M,Silver,Summer,3.6,true,Express,true,true,14,PayPal,Annually,3/3/2025 10:38,YOUTH,GOOD
27,38,Male,Jewelry,Accessories,20,Nevada,West Region,M,Red,Spring,3.6,true,Next Day Air,true,true,13,Credit Card,Annually,3/22/2025 10:47,ADULT,GOOD
28,56,Male,Shorts,Clothing,56,Kentucky,South Region,L,Cyan,Summer,5.0,true,Next Day Air,true,true,7,Bank Transfer,Every 3 Months,4/15/2025 16:58,ADULT,EXCELLENT
29,54,Male,Handbag,Accessories,94,North Carolina,South Region,M,Gray,Fall,4.4,true,Free Shipping,true,true,41,PayPal,Every 3 Months,5/30/2025 4:49,ADULT,EXCELLENT
